"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","36.680000mm","-34.625000mm","Top","0.000000"
"C2","40.525000mm","-38.525000mm","Top","0.000000"
"C3","20.680000mm","-31.525000mm","Top","0.000000"
"C4","24.025000mm","-31.525000mm","Top","0.000000"
"C5","25.680000mm","-4.625000mm","Top","0.000000"
"C6","47.025000mm","-21.625000mm","Top","0.000000"
"C7","29.680000mm","-5.625000mm","Top","0.000000"
"C8","26.680000mm","-7.625000mm","Top","0.000000"
"C9","44.680000mm","-36.625000mm","Top","0.000000"
"C10","38.525000mm","-22.525000mm","Top","0.000000"
"C11","28.525000mm","-25.525000mm","Top","0.000000"
"C12","16.525000mm","-35.525000mm","Top","0.000000"
"C13","25.025000mm","-27.525000mm","Top","0.000000"
"D1","23.680000mm","-38.625000mm","Top","0.000000"
"D2","30.680000mm","-34.625000mm","Top","0.000000"
"D3","4.680000mm","-28.025000mm","Top","0.000000"
"D4","9.680000mm","-28.025000mm","Top","0.000000"
"D5","3.000000mm","-38.500000mm","Top","0.000000"
"D6","29.300000mm","-41.500000mm","Top","180.000000"
"F1","12.500000mm","-38.000000mm","Top","0.000000"
"J1","8.025000mm","-50.825000mm","Top","0.000000"
"J2","26.025000mm","-50.825000mm","Top","0.000000"
"J3","51.025000mm","-9.625000mm","Top","90.000000"
"L1","35.525000mm","-26.025000mm","Top","0.000000"
"Q1","8.500000mm","-44.500000mm","Top","0.000000"
"Q2","17.000000mm","-44.500000mm","Top","0.000000"
"Q3","24.525000mm","-15.525000mm","Top","0.000000"
"Q4","23.025000mm","-11.525000mm","Top","0.000000"
"R1","2.525000mm","-24.525000mm","Top","0.000000"
"R2","5.525000mm","-26.025000mm","Top","0.000000"
"R3","15.025000mm","-33.025000mm","Top","0.000000"
"R4","2.525000mm","-22.525000mm","Top","0.000000"
"R5","4.500000mm","-44.500000mm","Top","0.000000"
"R6","3.000000mm","-41.500000mm","Top","0.000000"
"R7","7.680000mm","-41.525000mm","Top","0.000000"
"R8","10.680000mm","-41.525000mm","Top","0.000000"
"R9","14.680000mm","-41.525000mm","Top","0.000000"
"R10","17.680000mm","-41.525000mm","Top","0.000000"
"R11","18.680000mm","-24.025000mm","Top","0.000000"
"R12","20.680000mm","-25.525000mm","Top","0.000000"
"R13","26.680000mm","-38.625000mm","Top","0.000000"
"R14","40.525000mm","-11.525000mm","Top","0.000000"
"R15","34.025000mm","-6.875000mm","Top","0.000000"
"R16","23.525000mm","-20.525000mm","Top","0.000000"
"R17","20.025000mm","-22.525000mm","Top","0.000000"
"R18","24.525000mm","-25.025000mm","Top","0.000000"
"R19","23.525000mm","-22.525000mm","Top","0.000000"
"R20","45.525000mm","-31.525000mm","Top","0.000000"
"R21","36.525000mm","-7.525000mm","Top","0.000000"
"R22","36.525000mm","-9.525000mm","Top","0.000000"
"R23","36.525000mm","-11.525000mm","Top","0.000000"
"R24","37.525000mm","-13.525000mm","Top","0.000000"
"R25","46.525000mm","-17.525000mm","Top","0.000000"
"R26","44.475000mm","-16.135000mm","Top","-90.000000"
"R27","37.325000mm","-3.625000mm","Top","0.000000"
"R28","46.525000mm","-23.525000mm","Top","0.000000"
"R29","26.180000mm","-41.500000mm","Top","0.000000"
"R30","34.200000mm","-42.500000mm","Top","0.000000"
"R31","38.000000mm","-42.500000mm","Top","0.000000"
"SW1","6.025000mm","-34.525000mm","Top","0.000000"
"SW2","47.525000mm","-43.525000mm","Top","0.000000"
"U1","11.225000mm","-9.725000mm","Top","0.000000"
"U2","30.680000mm","-29.625000mm","Top","0.000000"
"U3","41.680000mm","-19.625000mm","Top","0.000000"
"U4","42.575000mm","-27.525000mm","Top","0.000000"
"U5","30.640000mm","-17.625000mm","Top","0.000000"
"U6","33.525000mm","-10.625000mm","Top","180.000000"
